Energiebilanz_ID,Versuchsjahr,Pruefglied_ID,Energieinput,Energieoutput,Energieeffizienz
1,1967,11,9.7252204224,76.2304,7.83842388028752
2,1967,12,17.3569105366667,118.336,6.81780318853484
3,1967,13,23.7190503767333,101.92892,4.29734404965828
4,1967,14,30.9715519469125,70.62578,2.28034359146929
5,1967,21,16.5230728704753,94.47917,5.71801448438944
6,1967,22,23.9990748484295,128.2604,5.34438934875831
7,1967,23,30.2865591249461,101.73026,3.35892431954107
8,1967,24,37.5118541224753,68.95394,1.83819066300661
9,1967,31,23.2017170218731,96.7586,4.17032066673265
10,1967,32,30.4821860436397,112.22785,3.68175201868164
11,1967,33,36.8038143811439,89.58878,2.43422540588347
12,1967,34,43.8952406555731,59.52662,1.35610647329809
13,1967,41,30.127814044917,123.86279,4.11124384315885
14,1967,42,37.1162393138837,123.9346,3.33909367681119
15,1967,43,43.4035156074879,88.26524,2.03359655927901
16,1967,44,50.3971109215045,50.9808,1.01158179641298
17,1968,11,6.30664459299299,142.0707,22.5271454424192
18,1968,12,11.2692508045846,194.42928,17.2530794967222
19,1968,13,15.9199997643497,201.72681,12.6712822227381
20,1968,14,21.2373075757765,197.20941,9.28598925717586
21,1968,21,8.47435007579963,146.38632,17.2740468225449
22,1968,22,13.479436644512,199.93524,14.8326109816616
23,1968,23,18.0662860477922,191.88924,10.6213994117208
24,1968,24,23.3792547156278,198.5058,8.49068126484415
25,1968,31,10.7159726383884,162.18408,15.1347978828351
26,1968,32,15.6032796427808,202.59708,12.9842625805746
27,1968,33,20.221474915142,204.59934,10.1179236855168
28,1968,34,25.5868922579772,210.56226,8.22930185803841
29,1968,41,12.9469244412216,177.33804,13.6973101839828
30,1968,42,17.7619894019463,206.83101,11.6445858242284
31,1968,43,22.3847285630255,203.952,9.11121166494206
32,1968,44,27.7030081393379,202.97964,7.32698914785979
33,1969,11,10.7380762502403,245.49352,22.8619646833395
34,1969,12,18.5675862686671,257.7948,13.8841309941847
35,1969,13,25.8424009580441,262.50336,10.1578549309788
