Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,P2O5,K2O,N,Ertrag_Staerke,Gehalt_Staerke,Gehalt_Zucker,Blauzahl,Loesl_Trockensubstanz,Loesl_Asche,Bemerkungen_ID
532,532,,,,,,19.4,0.07,23.4,0.44,21
533,533,,,,,,19.7,0.087,24,0.4,21
534,534,,,,,,19.7,0.087,24,0.4,21
535,535,,,,,,19.7,0.087,24,0.4,21
536,536,,,,,,19.7,0.087,24,0.4,21
537,537,,,,,,18.8,0.132,23.4,0.42,21
538,538,,,,,,18.8,0.132,23.4,0.42,21
539,539,,,,,,18.8,0.132,23.4,0.42,21
540,540,,,,,,18.8,0.132,23.4,0.42,21
541,541,,,,,,17.4,0.2,22.8,0.42,21
542,542,,,,,,17.4,0.2,22.8,0.42,21
543,543,,,,,,17.4,0.2,22.8,0.42,21
544,544,,,,,,17.4,0.2,22.8,0.42,21
545,545,,,,,,19.4,0.056,24.4,0.39,21
546,546,,,,,,19.4,0.056,24.4,0.39,21
547,547,,,,,,19.4,0.056,24.4,0.39,21
548,548,,,,,,19.4,0.056,24.4,0.39,21
549,549,,,,,,18.7,0.083,23.8,0.42,21
550,550,,,,,,18.7,0.083,23.8,0.42,21
551,551,,,,,,18.7,0.083,23.8,0.42,21
552,552,,,,,,18.7,0.083,23.8,0.42,21
553,553,,,,,,17,0.17,23,0.44,21
554,554,,,,,,17,0.17,23,0.44,21
555,555,,,,,,17,0.17,23,0.44,21
556,556,,,,,,17,0.17,23,0.44,21
557,557,,,,,,16.8,0.2,22.6,0.5,21
558,558,,,,,,16.8,0.2,22.6,0.5,21
559,559,,,,,,16.8,0.2,22.6,0.5,21
560,560,,,,,,16.8,0.2,22.6,0.5,21
561,561,,,,,,19.2,0.085,24,0.46,21
562,562,,,,,,19.2,0.085,24,0.46,21
563,563,,,,,,19.2,0.085,24,0.46,21
564,564,,,,,,19.2,0.085,24,0.46,21
565,565,,,,,,18.7,0.105,24.2,0.43,21
566,566,,,,,,18.7,0.105,24.2,0.43,21
567,567,,,,,,18.7,0.105,24.2,0.43,21
568,568,,,,,,18.7,0.105,24.2,0.43,21
