Faktor2_Stufe_ID,Faktor_ID,Name,Beschreibung
1,1,Kontrolle (0),0 kg/ha N mineralisch
2,1,Niedrig (100),100 kg/ha N mineralisch
3,1,Mittel (200),200 kg/ha N mineralisch
4,1,Hoch (300),300 kg/ha N mineralisch
