Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
177,1987,19860916,49,28,2,1,
178,1987,19860916,50,28,2,1,
179,1987,19860916,51,28,2,1,
180,1987,19860916,52,28,2,1,
181,1987,19860916,53,28,2,1,
182,1987,19860916,54,28,2,1,
183,1987,19860916,55,28,2,1,
184,1987,19860916,56,28,2,1,
185,1987,19860916,57,28,2,1,
186,1987,19860916,58,28,2,1,
187,1987,19860916,59,28,2,1,
188,1987,19860916,60,28,2,1,
189,1987,19860916,61,28,2,1,
190,1987,19860916,62,28,2,1,
191,1987,19860916,63,28,2,1,
192,1987,19860916,64,28,2,1,
193,1987,19870424,1,,4,13,
194,1987,19870424,2,,4,13,
195,1987,19870424,3,,4,13,
196,1987,19870424,4,,4,13,
197,1987,19870424,5,,4,13,
198,1987,19870424,6,,4,13,
199,1987,19870424,7,,4,13,
200,1987,19870424,8,,4,13,
201,1987,19870424,9,,4,13,
202,1987,19870424,10,,4,13,
203,1987,19870424,11,,4,13,
204,1987,19870424,12,,4,13,
205,1987,19870424,13,,4,13,
206,1987,19870424,14,,4,13,
207,1987,19870424,15,,4,13,
208,1987,19870424,16,,4,13,
209,1987,19870424,17,,4,13,
210,1987,19870424,18,,4,13,
211,1987,19870424,19,,4,13,
212,1987,19870424,20,,4,13,
213,1987,19870424,21,,4,13,
214,1987,19870424,22,,4,13,
215,1987,19870424,23,,4,13,
216,1987,19870424,24,,4,13,
217,1987,19870424,25,,4,13,
218,1987,19870424,26,,4,13,
219,1987,19870424,27,,4,13,
220,1987,19870424,28,,4,13,
221,1987,19870424,29,,4,13,
222,1987,19870424,30,,4,13,
223,1987,19870424,31,,4,13,
224,1987,19870424,32,,4,13,
225,1987,19870424,33,,4,13,
226,1987,19870424,34,,4,13,
227,1987,19870424,35,,4,13,
228,1987,19870424,36,,4,13,
229,1987,19870424,37,,4,13,
230,1987,19870424,38,,4,13,
231,1987,19870424,39,,4,13,
232,1987,19870424,40,,4,13,
233,1987,19870424,41,,4,13,
234,1987,19870424,42,,4,13,
235,1987,19870424,43,,4,13,
236,1987,19870424,44,,4,13,
237,1987,19870424,45,,4,13,
238,1987,19870424,46,,4,13,
239,1987,19870424,47,,4,13,
240,1987,19870424,48,,4,13,
241,1987,19870424,49,,4,13,
242,1987,19870424,50,,4,13,
243,1987,19870424,51,,4,13,
244,1987,19870424,52,,4,13,
245,1987,19870424,53,,4,13,
246,1987,19870424,54,,4,13,
247,1987,19870424,55,,4,13,
248,1987,19870424,56,,4,13,
249,1987,19870424,57,,4,13,
250,1987,19870424,58,,4,13,
251,1987,19870424,59,,4,13,
252,1987,19870424,60,,4,13,
253,1987,19870424,61,,4,13,
254,1987,19870424,62,,4,13,
255,1987,19870424,63,,4,13,
256,1987,19870424,64,,4,13,
257,1988,19871116,1,25,2,1,
258,1988,19871116,2,25,2,1,
259,1988,19871116,3,25,2,1,
260,1988,19871116,4,25,2,1,
261,1988,19871116,5,25,2,1,
262,1988,19871116,6,25,2,1,
263,1988,19871116,7,25,2,1,
264,1988,19871116,8,25,2,1,
265,1988,19871116,9,25,2,1,
266,1988,19871116,10,25,2,1,
267,1988,19871116,11,25,2,1,
268,1988,19871116,12,25,2,1,
269,1988,19871116,13,25,2,1,
270,1988,19871116,14,25,2,1,
271,1988,19871116,15,25,2,1,
272,1988,19871116,16,25,2,1,
273,1988,19871116,17,25,2,1,
274,1988,19871116,18,25,2,1,
275,1988,19871116,19,25,2,1,
276,1988,19871116,20,25,2,1,
277,1988,19871116,21,25,2,1,
278,1988,19871116,22,25,2,1,
279,1988,19871116,23,25,2,1,
280,1988,19871116,24,25,2,1,
281,1988,19871116,25,25,2,1,
282,1988,19871116,26,25,2,1,
283,1988,19871116,27,25,2,1,
284,1988,19871116,28,25,2,1,
285,1988,19871116,29,25,2,1,
286,1988,19871116,30,25,2,1,
287,1988,19871116,31,25,2,1,
288,1988,19871116,32,25,2,1,
289,1988,19871116,33,25,2,1,
290,1988,19871116,34,25,2,1,
291,1988,19871116,35,25,2,1,
292,1988,19871116,36,25,2,1,
293,1988,19871116,37,25,2,1,
294,1988,19871116,38,25,2,1,
295,1988,19871116,39,25,2,1,
296,1988,19871116,40,25,2,1,
297,1988,19871116,41,25,2,1,
298,1988,19871116,42,25,2,1,
299,1988,19871116,43,25,2,1,
300,1988,19871116,44,25,2,1,
301,1988,19871116,45,25,2,1,
302,1988,19871116,46,25,2,1,
303,1988,19871116,47,25,2,1,
304,1988,19871116,48,25,2,1,
305,1988,19871116,49,25,2,1,
306,1988,19871116,50,25,2,1,
307,1988,19871116,51,25,2,1,
308,1988,19871116,52,25,2,1,
309,1988,19871116,53,25,2,1,
310,1988,19871116,54,25,2,1,
311,1988,19871116,55,25,2,1,
312,1988,19871116,56,25,2,1,
313,1988,19871116,57,25,2,1,
314,1988,19871116,58,25,2,1,
315,1988,19871116,59,25,2,1,
316,1988,19871116,60,25,2,1,
317,1988,19871116,61,25,2,1,
318,1988,19871116,62,25,2,1,
319,1988,19871116,63,25,2,1,
320,1988,19871116,64,25,2,1,
321,1988,19880407,1,,6,7,
322,1988,19880407,2,,6,7,
323,1988,19880407,3,,6,7,
324,1988,19880407,4,,6,7,
325,1988,19880407,5,,6,7,
326,1988,19880407,6,,6,7,
327,1988,19880407,7,,6,7,
328,1988,19880407,8,,6,7,
329,1988,19880407,9,,6,7,
330,1988,19880407,10,,6,7,
331,1988,19880407,11,,6,7,
332,1988,19880407,12,,6,7,
333,1988,19880407,13,,6,7,
334,1988,19880407,14,,6,7,
335,1988,19880407,15,,6,7,
336,1988,19880407,16,,6,7,
337,1988,19880407,17,,6,7,
338,1988,19880407,18,,6,7,
339,1988,19880407,19,,6,7,
340,1988,19880407,20,,6,7,
341,1988,19880407,21,,6,7,
342,1988,19880407,22,,6,7,
343,1988,19880407,23,,6,7,
344,1988,19880407,24,,6,7,
345,1988,19880407,25,,6,7,
346,1988,19880407,26,,6,7,
347,1988,19880407,27,,6,7,
348,1988,19880407,28,,6,7,
349,1988,19880407,29,,6,7,
350,1988,19880407,30,,6,7,
351,1988,19880407,31,,6,7,
352,1988,19880407,32,,6,7,
353,1988,19880407,33,,6,7,
354,1988,19880407,34,,6,7,
355,1988,19880407,35,,6,7,
356,1988,19880407,36,,6,7,
357,1988,19880407,37,,6,7,
358,1988,19880407,38,,6,7,
359,1988,19880407,39,,6,7,
360,1988,19880407,40,,6,7,
361,1988,19880407,41,,6,7,
362,1988,19880407,42,,6,7,
363,1988,19880407,43,,6,7,
364,1988,19880407,44,,6,7,
365,1988,19880407,45,,6,7,
366,1988,19880407,46,,6,7,
367,1988,19880407,47,,6,7,
368,1988,19880407,48,,6,7,
369,1988,19880407,49,,6,7,
370,1988,19880407,50,,6,7,
371,1988,19880407,51,,6,7,
372,1988,19880407,52,,6,7,
373,1988,19880407,53,,6,7,
374,1988,19880407,54,,6,7,
375,1988,19880407,55,,6,7,
376,1988,19880407,56,,6,7,
377,1988,19880407,57,,6,7,
378,1988,19880407,58,,6,7,
379,1988,19880407,59,,6,7,
380,1988,19880407,60,,6,7,
381,1988,19880407,61,,6,7,
382,1988,19880407,62,,6,7,
383,1988,19880407,63,,6,7,
384,1988,19880407,64,,6,7,
385,1989,19881105,1,25,2,1,
386,1989,19881105,2,25,2,1,
387,1989,19881105,3,25,2,1,
388,1989,19881105,4,25,2,1,
389,1989,19881105,5,25,2,1,
390,1989,19881105,6,25,2,1,
391,1989,19881105,7,25,2,1,
392,1989,19881105,8,25,2,1,
393,1989,19881105,9,25,2,1,
394,1989,19881105,10,25,2,1,
395,1989,19881105,11,25,2,1,
396,1989,19881105,12,25,2,1,
397,1989,19881105,13,25,2,1,
398,1989,19881105,14,25,2,1,
399,1989,19881105,15,25,2,1,
400,1989,19881105,16,25,2,1,
401,1989,19881105,17,25,2,1,
402,1989,19881105,18,25,2,1,
403,1989,19881105,19,25,2,1,
404,1989,19881105,20,25,2,1,
405,1989,19881105,21,25,2,1,
406,1989,19881105,22,25,2,1,
407,1989,19881105,23,25,2,1,
408,1989,19881105,24,25,2,1,
409,1989,19881105,25,25,2,1,
410,1989,19881105,26,25,2,1,
411,1989,19881105,27,25,2,1,
412,1989,19881105,28,25,2,1,
413,1989,19881105,29,25,2,1,
414,1989,19881105,30,25,2,1,
415,1989,19881105,31,25,2,1,
416,1989,19881105,32,25,2,1,
417,1989,19881105,33,25,2,1,
418,1989,19881105,34,25,2,1,
419,1989,19881105,35,25,2,1,
420,1989,19881105,36,25,2,1,
421,1989,19881105,37,25,2,1,
422,1989,19881105,38,25,2,1,
423,1989,19881105,39,25,2,1,
424,1989,19881105,40,25,2,1,
425,1989,19881105,41,25,2,1,
426,1989,19881105,42,25,2,1,
427,1989,19881105,43,25,2,1,
428,1989,19881105,44,25,2,1,
429,1989,19881105,45,25,2,1,
430,1989,19881105,46,25,2,1,
431,1989,19881105,47,25,2,1,
432,1989,19881105,48,25,2,1,
433,1989,19881105,49,25,2,1,
434,1989,19881105,50,25,2,1,
435,1989,19881105,51,25,2,1,
436,1989,19881105,52,25,2,1,
437,1989,19881105,53,25,2,1,
438,1989,19881105,54,25,2,1,
439,1989,19881105,55,25,2,1,
440,1989,19881105,56,25,2,1,
441,1989,19881105,57,25,2,1,
442,1989,19881105,58,25,2,1,
443,1989,19881105,59,25,2,1,
444,1989,19881105,60,25,2,1,
445,1989,19881105,61,25,2,1,
446,1989,19881105,62,25,2,1,
447,1989,19881105,63,25,2,1,
448,1989,19881105,64,25,2,1,
449,1989,19890308,1,,4,13,
450,1989,19890308,2,,4,13,
451,1989,19890308,3,,4,13,
452,1989,19890308,4,,4,13,
453,1989,19890308,5,,4,13,
454,1989,19890308,6,,4,13,
455,1989,19890308,7,,4,13,
456,1989,19890308,8,,4,13,
457,1989,19890308,9,,4,13,
458,1989,19890308,10,,4,13,
459,1989,19890308,11,,4,13,
460,1989,19890308,12,,4,13,
461,1989,19890308,13,,4,13,
462,1989,19890308,14,,4,13,
463,1989,19890308,15,,4,13,
464,1989,19890308,16,,4,13,
465,1989,19890308,17,,4,13,
466,1989,19890308,18,,4,13,
467,1989,19890308,19,,4,13,
468,1989,19890308,20,,4,13,
469,1989,19890308,21,,4,13,
470,1989,19890308,22,,4,13,
471,1989,19890308,23,,4,13,
472,1989,19890308,24,,4,13,
473,1989,19890308,25,,4,13,
474,1989,19890308,26,,4,13,
475,1989,19890308,27,,4,13,
476,1989,19890308,28,,4,13,
477,1989,19890308,29,,4,13,
478,1989,19890308,30,,4,13,
479,1989,19890308,31,,4,13,
480,1989,19890308,32,,4,13,
481,1989,19890308,33,,4,13,
482,1989,19890308,34,,4,13,
483,1989,19890308,35,,4,13,
484,1989,19890308,36,,4,13,
485,1989,19890308,37,,4,13,
486,1989,19890308,38,,4,13,
487,1989,19890308,39,,4,13,
488,1989,19890308,40,,4,13,
489,1989,19890308,41,,4,13,
490,1989,19890308,42,,4,13,
491,1989,19890308,43,,4,13,
492,1989,19890308,44,,4,13,
493,1989,19890308,45,,4,13,
494,1989,19890308,46,,4,13,
495,1989,19890308,47,,4,13,
496,1989,19890308,48,,4,13,
497,1989,19890308,49,,4,13,
498,1989,19890308,50,,4,13,
499,1989,19890308,51,,4,13,
500,1989,19890308,52,,4,13,
501,1989,19890308,53,,4,13,
502,1989,19890308,54,,4,13,
503,1989,19890308,55,,4,13,
504,1989,19890308,56,,4,13,
505,1989,19890308,57,,4,13,
506,1989,19890308,58,,4,13,
507,1989,19890308,59,,4,13,
508,1989,19890308,60,,4,13,
509,1989,19890308,61,,4,13,
510,1989,19890308,62,,4,13,
511,1989,19890308,63,,4,13,
512,1989,19890308,64,,4,13,
513,1989,19890308,1,,7,13,
514,1989,19890308,2,,7,13,
515,1989,19890308,3,,7,13,
516,1989,19890308,4,,7,13,
517,1989,19890308,5,,7,13,
518,1989,19890308,6,,7,13,
519,1989,19890308,7,,7,13,
520,1989,19890308,8,,7,13,
521,1989,19890308,9,,7,13,
522,1989,19890308,10,,7,13,
523,1989,19890308,11,,7,13,
524,1989,19890308,12,,7,13,
525,1989,19890308,13,,7,13,
526,1989,19890308,14,,7,13,
527,1989,19890308,15,,7,13,
528,1989,19890308,16,,7,13,
529,1989,19890308,17,,7,13,
530,1989,19890308,18,,7,13,
531,1989,19890308,19,,7,13,
532,1989,19890308,20,,7,13,
533,1989,19890308,21,,7,13,
534,1989,19890308,22,,7,13,
535,1989,19890308,23,,7,13,
536,1989,19890308,24,,7,13,
537,1989,19890308,25,,7,13,
538,1989,19890308,26,,7,13,
539,1989,19890308,27,,7,13,
540,1989,19890308,28,,7,13,
541,1989,19890308,29,,7,13,
542,1989,19890308,30,,7,13,
543,1989,19890308,31,,7,13,
544,1989,19890308,32,,7,13,
545,1989,19890308,33,,7,13,
546,1989,19890308,34,,7,13,
547,1989,19890308,35,,7,13,
548,1989,19890308,36,,7,13,
549,1989,19890308,37,,7,13,
550,1989,19890308,38,,7,13,
551,1989,19890308,39,,7,13,
552,1989,19890308,40,,7,13,
553,1989,19890308,41,,7,13,
554,1989,19890308,42,,7,13,
555,1989,19890308,43,,7,13,
556,1989,19890308,44,,7,13,
557,1989,19890308,45,,7,13,
558,1989,19890308,46,,7,13,
559,1989,19890308,47,,7,13,
560,1989,19890308,48,,7,13,
561,1989,19890308,49,,7,13,
562,1989,19890308,50,,7,13,
563,1989,19890308,51,,7,13,
564,1989,19890308,52,,7,13,
565,1989,19890308,53,,7,13,
566,1989,19890308,54,,7,13,
