Faktor1_Stufe_ID,Faktor_ID,Name,Beschreibung
1,2,Kontrolle (0),0 kg/ha N Stallmist
2,2,Niedrig (100),100 kg/ha N Stallmist
3,2,Mittel (200),200 kg/ha N Stallmist
4,2,Hoch (300),300 kg/ha N Stallmist
