Pflanzenschutz_ID,Versuchsjahr,Termin,Parzelle_ID,Kultur_ID,Pflanzenschutz_Mittel_ID,Indikation_ID,Menge,Technik_ID,Bemerkungen_ID
1,1967,,1,1,,,,17,
2,1967,,2,1,,,,17,
3,1967,,3,1,,,,17,
4,1967,,4,1,,,,17,
5,1967,,5,1,,,,17,
6,1967,,6,1,,,,17,
7,1967,,7,1,,,,17,
8,1967,,8,1,,,,17,
9,1967,,9,1,,,,17,
10,1967,,10,1,,,,17,
11,1967,,11,1,,,,17,
12,1967,,12,1,,,,17,
13,1967,,13,1,,,,17,
14,1967,,14,1,,,,17,
15,1967,,15,1,,,,17,
16,1967,,16,1,,,,17,
17,1967,,17,1,,,,17,
18,1967,,18,1,,,,17,
19,1967,,19,1,,,,17,
20,1967,,20,1,,,,17,
21,1967,,21,1,,,,17,
22,1967,,22,1,,,,17,
23,1967,,23,1,,,,17,
24,1967,,24,1,,,,17,
25,1967,,25,1,,,,17,
26,1967,,26,1,,,,17,
27,1967,,27,1,,,,17,
28,1967,,28,1,,,,17,
29,1967,,29,1,,,,17,
30,1967,,30,1,,,,17,
31,1967,,31,1,,,,17,
32,1967,,32,1,,,,17,
33,1967,,33,1,,,,17,
34,1967,,34,1,,,,17,
35,1967,,35,1,,,,17,
36,1967,,36,1,,,,17,
37,1967,,37,1,,,,17,
38,1967,,38,1,,,,17,
39,1967,,39,1,,,,17,
40,1967,,40,1,,,,17,
41,1967,,41,1,,,,17,
42,1967,,42,1,,,,17,
43,1967,,43,1,,,,17,
44,1967,,44,1,,,,17,
45,1967,,45,1,,,,17,
46,1967,,46,1,,,,17,
47,1967,,47,1,,,,17,
48,1967,,48,1,,,,17,
49,1967,,49,1,,,,17,
50,1967,,50,1,,,,17,
51,1967,,51,1,,,,17,
52,1967,,52,1,,,,17,
53,1967,,53,1,,,,17,
54,1967,,54,1,,,,17,
55,1967,,55,1,,,,17,
56,1967,,56,1,,,,17,
57,1967,,57,1,,,,17,
58,1967,,58,1,,,,17,
59,1967,,59,1,,,,17,
60,1967,,60,1,,,,17,
61,1967,,61,1,,,,17,
62,1967,,62,1,,,,17,
63,1967,,63,1,,,,17,
64,1967,,64,1,,,,17,
65,1968,19680323,1,2,31,2,3.6,17,35
66,1968,19680323,2,2,31,2,3.6,17,35
67,1968,19680323,3,2,31,2,3.6,17,35
68,1968,19680323,4,2,31,2,3.6,17,35
69,1968,19680323,5,2,31,2,3.6,17,35
70,1968,19680323,6,2,31,2,3.6,17,35
71,1968,19680323,7,2,31,2,3.6,17,35
72,1968,19680323,8,2,31,2,3.6,17,35
73,1968,19680323,9,2,31,2,3.6,17,35
74,1968,19680323,10,2,31,2,3.6,17,35
75,1968,19680323,11,2,31,2,3.6,17,35
76,1968,19680323,12,2,31,2,3.6,17,35
77,1968,19680323,13,2,31,2,3.6,17,35
78,1968,19680323,14,2,31,2,3.6,17,35
79,1968,19680323,15,2,31,2,3.6,17,35
80,1968,19680323,16,2,31,2,3.6,17,35
81,1968,19680323,17,2,31,2,3.6,17,35
82,1968,19680323,18,2,31,2,3.6,17,35
83,1968,19680323,19,2,31,2,3.6,17,35
84,1968,19680323,20,2,31,2,3.6,17,35
85,1968,19680323,21,2,31,2,3.6,17,35
86,1968,19680323,22,2,31,2,3.6,17,35
87,1968,19680323,23,2,31,2,3.6,17,35
88,1968,19680323,24,2,31,2,3.6,17,35
89,1968,19680323,25,2,31,2,3.6,17,35
90,1968,19680323,26,2,31,2,3.6,17,35
91,1968,19680323,27,2,31,2,3.6,17,35
92,1968,19680323,28,2,31,2,3.6,17,35
93,1968,19680323,29,2,31,2,3.6,17,35
94,1968,19680323,30,2,31,2,3.6,17,35
95,1968,19680323,31,2,31,2,3.6,17,35
96,1968,19680323,32,2,31,2,3.6,17,35
97,1968,19680323,33,2,31,2,3.6,17,35
98,1968,19680323,34,2,31,2,3.6,17,35
99,1968,19680323,35,2,31,2,3.6,17,35
100,1968,19680323,36,2,31,2,3.6,17,35
101,1968,19680323,37,2,31,2,3.6,17,35
102,1968,19680323,38,2,31,2,3.6,17,35
103,1968,19680323,39,2,31,2,3.6,17,35
104,1968,19680323,40,2,31,2,3.6,17,35
105,1968,19680323,41,2,31,2,3.6,17,35
