Termin,T_Mit_2m,Niederschlag_Summe,Bemerkungen_ID
19860401,7.4,36,2
19860501,15.7,66,2
19860601,17,59,2
19860701,18.7,36,2
19860801,17.6,46,2
19860901,12.1,33,2
19861001,10.2,57,2
19861101,7.1,10,2
19861201,2.6,86,2
19870101,-7.2,85,2
19870201,-0.6,50,2
19870301,-0.2,23,2
19870401,10.1,29,2
19870501,11,85,2
19870601,15.4,76,2
19870701,18.1,68,2
19870801,16.2,90,2
19870901,15.1,65,2
19871001,9.8,11,2
19871101,5.5,56,2
19871201,2.6,49,2
19880101,4.2,42,2
19880201,2.8,72,2
19880301,3.2,69,2
19880401,8.9,9,2
19880501,15.3,24,2
19880601,16.3,90,2
19880701,18.8,45,2
19880801,18.6,24,2
19880901,14.5,38,2
19881001,10.2,19,2
19881101,3.7,48,2
19881201,3.6,105,2
19890101,3.4,21.22,2
19890201,4.1,27.4,2
19890301,8,29.8,2
19890401,8.4,77.6,2
19890501,15.1,21.3,2
19890601,17.2,39.4,2
19890701,19.2,46.8,2
19890801,18.5,32.3,2
19890901,15.9,22.2,2
19891001,11.9,45,2
19891101,3.1,75.9,2
19891201,3.3,40.4,2
19900101,3.8,12,2
19900201,7.3,51,2
19900301,8,13,2
19900401,8.4,35,2
19900501,15.4,8,2
19900601,17.2,104,2
19900701,18.1,16,2
19900801,19.8,60,2
19900901,12.8,54,2
19901001,10.8,11,2
19901101,5.5,74,2
19901201,1.4,38,2
19910101,2.4,17,2
19910201,-2.2,20,2
19910301,7.1,29,2
19910401,7.8,39,2
19910501,10.5,31,2
19910601,15.1,81,2
19910701,20.8,11,2
19910801,18.9,31,2
19910901,16.1,17,2
19911001,9.3,18,2
19911101,4.8,35,2
19911201,1.3,49,2
19920101,1.4,46,2
19920201,3.9,34,2
19920301,5.6,81,2
19920401,9.2,29,2
19920501,15.7,19,2
19920601,19.5,41,2
19920701,20.4,100,2
19920801,21.4,72,2
19920901,14.1,25,2
19921001,7.2,60,2
19921101,5.8,33,2
19921201,1.7,41,2
19930101,3,56,2
19930201,-0.3,23,2
19930301,4.5,19,2
19930401,11.5,21,2
19930501,16.1,70,2
19930601,16.9,69,2
19930701,17.6,121,2
19930801,17.1,42,2
19930901,13.1,56,2
19931001,9,24,2
19931101,-0.1,56,2
19931201,3.8,91,2
19940101,4.1,35,2
19940201,-0.2,23,2
19940301,7.4,95,2
19940401,9.4,92,2
19940501,13.8,77,2
19940601,17.5,24,2
19940701,23.1,82,2
19940801,19.1,136,2
19940901,14.5,62,2
19941001,8.5,39,2
19941101,7.3,42,2
19941201,4.7,38,2
19950101,0.6,46,2
19950201,5.8,43,2
19950301,4.2,33,2
19950401,9.2,87,2
19950501,13.3,53,2
19950601,15.8,74,2
19950701,21.9,44,2
19950801,19.8,91,2
19950901,14,98,2
19951001,12.7,7,2
19951101,3.4,64,2
19951201,-1.7,27,2
19960101,-4,2,2
19960201,-2.3,18,2
19960301,1,17,2
19960401,9.6,15,2
19960501,12.2,74,2
19960601,16.9,18,2
19960701,17.1,129,2
19960801,18.6,35,2
19960901,11.7,49,2
19961001,10.4,47,2
19961101,5.5,61,2
19961201,-3.2,31,2
19970101,-2.2,10,2
19970201,5.3,44,2
19970301,6.2,36,2
19970401,7,32,2
19970501,14.3,55,2
19970601,17.5,31,2
19970701,18.9,148,2
19970801,21.2,13,2
19970901,14.8,19,2
19971001,8.6,37,2
19971101,4.2,14,2
19971201,2.5,78,2
19980101,3.6,30.9,1
19980201,5.8,25.5,1
19980301,5.7,42.9,1
19980401,11,38.6,1
19980501,15.6,34.2,1
19980601,16.8,71.5,1
19980701,16.4,73,1
19980801,16.5,70.3,1
19980901,13.7,40.6,1
19981001,8.7,141.6,1
19981101,1.6,39.6,1
19981201,1.1,42.4,1
19990101,3.3,45.5,1
19990201,1.4,52.2,1
19990301,5.2,48.1,1
19990401,9.4,23.6,1
19990501,13.6,40.2,1
19990601,15.6,74.8,1
19990701,19.8,24.7,1
19990801,17.5,45.3,1
19990901,17.4,62.2,1
19991001,9.3,28,1
19991101,4.1,15.4,1
19991201,2.9,78.8,1
20000101,1.9,32.1,1
20000201,4.5,48.1,1
20000301,5.3,60,1
20000401,10.3,15.8,1
20000501,14.9,35.5,1
20000601,17.2,32.7,1
20000701,15.9,107.2,1
20000801,17,57.1,1
20000901,13.7,57.2,1
20001001,10.9,32.4,1
20001101,6.4,23.3,1
20001201,2.9,25.8,1
20010101,1,38.4,1
20010201,1.6,37.9,1
20010301,3,45.8,1
20010401,7.6,34,1
20010501,14,8.7,1
20010601,14.3,66.1,1
20010701,19.3,42.3,1
20010801,18.8,59.2,1
20010901,12.6,137,1
20011001,12.4,38.4,1
20011101,4.6,40.2,1
20011201,0.3,50.6,1
20020101,2.4,43.8,1
20020201,5.2,64.2,1
20020301,5.1,46.2,1
20020401,8,47,1
20020501,14.5,63.2,1
20020601,17.2,44.9,1
20020701,18.1,115.6,1
20020801,20,91.7,1
20020901,14.1,28.7,1
20021001,7.9,67.4,1
20021101,4,98.5,1
20021201,-1.6,19,1
